,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,83.0,48.0,33.0
1,131.0,29.0,33.0
2,117.0,36.0,29.0
3,133.0,54.0,28.0
4,94.0,48.0,36.0
5,109.0,42.0,30.0
6,97.0,63.0,31.0
7,122.0,34.0,29.0
8,120.0,50.0,24.0
9,105.0,64.0,31.0
10,82.0,39.0,24.0
