,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,59.63343299999999,14.003650999999998,2.425015
1,92.989278,9.210545999999999,2.523891
2,82.379331,9.573081,2.047268
3,97.65499700000002,14.780319,2.065811
4,67.09884100000001,13.798210999999998,2.686149
5,80.58336600000001,11.557897,2.37949
6,73.06930600000001,17.362083000000002,2.2546
7,88.18687600000001,9.512381999999999,2.1354820000000005
8,86.88687499999999,15.410891000000003,1.6966509999999997
9,75.725092,16.596394,2.2441630000000004
10,59.09048700000001,11.452423000000001,1.7230440000000002
