minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1343,0.9938905499999998,0.2333941833333333,0.04041691666666667
1344,1.5498213,0.15350909999999998,0.04206485
1345,1.3729888499999998,0.15955135,0.03412113333333333
1346,1.6275832833333337,0.24633865000000002,0.034430183333333336
1347,1.1183140166666667,0.2299701833333333,0.04476915
1348,1.3430561000000003,0.19263161666666667,0.03965816666666667
1349,1.2178217666666669,0.28936805000000004,0.03757666666666667
1350,1.469781266666667,0.15853969999999998,0.03559136666666667
1351,1.448114583333333,0.25684818333333337,0.028277516666666662
1352,1.2620848666666666,0.27660656666666666,0.037402716666666676
1353,0.9848414500000001,0.1908737166666667,0.028717400000000004
