minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1343,1.3833333333333333,0.8,0.55
1344,2.183333333333333,0.48333333333333334,0.55
1345,1.95,0.6,0.48333333333333334
1346,2.216666666666667,0.9,0.4666666666666667
1347,1.5666666666666667,0.8,0.6
1348,1.8166666666666667,0.7,0.5
1349,1.6166666666666667,1.05,0.5166666666666667
1350,2.033333333333333,0.5666666666666667,0.48333333333333334
1351,2.0,0.8333333333333334,0.4
1352,1.75,1.0666666666666667,0.5166666666666667
1353,1.3666666666666667,0.65,0.4
