minutes,dd-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1193,7.452836937469122,16.339605130947245,12.524495930629447,8.59349024465639
1194,8.92666477909828,15.561816580017917,18.49970271686096,13.135903229079517
1195,8.297155445063108,20.758524407698623,11.765409677883936,12.720904450467897
1196,6.651628000454085,15.292210987304204,11.19937186256596,11.078529709691463
1197,6.844737604126807,15.111398845288498,11.627446922324234,18.712322817077382
1198,6.990375019361067,20.712384530818692,12.972035328084507,8.825845822797762
1199,7.425914756469737,17.435532394669643,12.010330118256547,12.44069055127836
1200,5.295273545714333,15.088438697440967,14.161766428122684,16.320371370529493
1201,7.101486869464209,18.360804874677573,10.874673047245102,13.824003306038712
1202,7.198148768209453,16.15376905872835,13.437324259427077,19.264822212759796
1203,8.597009164843755,17.908027485388857,12.547980045159143,19.433576380804812
1204,6.025645155682906,16.627084649301686,14.008051998095242,9.301471955132348
