minutes,pyaes-0-0.0.1,dd-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1
574,30.196778471633227,10.873498375252138,33.564970874373984,17.209915638204244
575,36.0326129561435,9.709658214136978,40.19643741594984,18.62906609782254
576,25.826426629741935,11.787739237400698,41.96923201723192,21.90805667575901
577,28.89254653655765,8.433900052077645,41.067577999728684,11.56657547249313
578,24.58413548232225,11.072557347585152,42.16913767225524,16.235965166204263
579,30.59672826039329,9.557294493660539,34.00150370702859,24.638693575807466
580,22.97907932258717,9.815247991549393,46.45966603352215,21.331092205046524
581,36.49685430578482,9.790682406442327,42.790672604724215,24.241982421355516
582,34.44934024151987,11.536390000153068,42.70957154043432,23.225965868849993
583,24.124884283750603,11.000174922380944,38.84366982358029,17.265382321856933
584,22.341007667422467,11.18874872071885,40.55225016141421,22.08032579705899
585,24.906574233880825,8.092406985782429,41.19602927545992,19.268530703862673
