,0
0,0.43489086060139814
1,3.6940981743968733
2,4.77967616648221
3,5.91320491350617
4,6.246121418244125
5,7.3471121847588154
6,9.976247507924302
7,10.638650655598683
8,11.018954543947443
9,15.623673031151068
10,15.996956085663763
11,16.875945199746166
12,17.746857582851426
13,17.88067534314781
14,19.16705354985711
15,20.000410458008094
16,22.726646020686665
17,23.701593384930632
18,30.692592060543404
19,42.29090482686967
20,45.6894669737772
21,48.059611517676046
22,55.7657233250621
23,60.09548791206568
24,63.442245088182304
25,64.22011978343643
26,64.22863524383943
27,64.3292090438349
28,65.5679600474381
29,68.59414124312725
30,69.89610252998311
31,70.14398549864258
32,72.48015518671674
33,125.3689090496733
34,152.9274943713465
35,154.76492002533294
36,172.31111339428685
37,184.5887324849687
38,222.35940137426275
39,228.40971792511647
40,247.58567513808862
41,261.42937857934777
42,268.46417592365583
43,325.89387690850214
