minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1290,62.9288948782337,5.9448454256127246,35.967445616118596,130.05880920119765
1291,55.8395110040798,32.285472329351734,21.739137897332682,41.53895750428085
1292,60.216863612013185,20.52883837286923,19.117165150915145,110.62965439573615
1293,69.83213088048922,28.120583672710538,43.628006658748184,176.6597477374452
1294,64.50810515295406,35.25319661719792,14.917538092813912,69.97140992765975
1295,63.043315796696184,13.74687194405162,24.112623350453436,98.21629509821081
1296,64.7394750969575,18.39607983693505,2.209866053129021,130.75506727193456
1297,66.08539082625444,6.522308064292435,53.11784857331838,122.78934006516448
1298,49.52726432335458,44.128105036635375,36.89791893762496,82.13791954618672
1299,65.23864399562548,42.76570458062678,34.40155897471425,121.15263125186175
1300,60.98239998589881,35.82667167228604,28.362885975921365,85.72397416787699
1301,1000.0,1000.0,1000.0,1000.0
