minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1154,1.500509966666666,1.4482788000000006,1.2365014833333337,0.8281078666666665,0.0
1156,1.1333333333333333,1.2666666666666666,1.4,0.6333333333333333,0.0
1157,1.1333333333333333,1.5166666666666666,1.6666666666666667,1.1666666666666667,0.0
1158,1.1833333333333333,1.05,1.5166666666666666,0.8,0.0
1159,1.25,1.1,1.8833333333333333,1.4166666666666667,0.0
1160,1.85,1.2833333333333334,2.216666666666667,1.2666666666666666,0.0
1161,1.2666666666666666,1.2833333333333334,1.85,1.0666666666666667,0.0
1162,0.8833333333333333,1.1666666666666667,1.25,0.7,0.0
1163,1.25,1.05,1.4666666666666666,0.5833333333333334,0.0
1164,1.4166666666666667,1.0833333333333333,1.5333333333333334,1.15,0.0
1165,1.2666666666666666,1.2666666666666666,1.2,0.95,0.0
1166,1.1833333333333333,1.45,2.05,0.9666666666666667,0.0
1167,1.65,1.7666666666666666,1.5666666666666667,1.25,0.0
1168,0.8166666666666667,0.8666666666666667,1.2166666666666666,0.6,0.0
