,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,90.03059799999996,86.89672800000004,74.19008900000001,49.68647199999999,0.0
1,68.0,76.0,84.0,38.0,0.0
2,68.0,91.0,100.0,70.0,0.0
3,71.0,63.0,91.0,48.0,0.0
4,75.0,66.0,113.0,85.0,0.0
5,111.0,77.0,133.0,76.0,0.0
6,76.0,77.0,111.0,64.0,0.0
7,53.0,70.0,75.0,42.0,0.0
8,75.0,63.0,88.0,35.0,0.0
9,85.0,65.0,92.0,69.0,0.0
10,76.0,76.0,72.0,57.0,0.0
11,71.0,87.0,123.0,58.0,0.0
12,99.0,106.0,94.0,75.0,0.0
13,49.0,52.0,73.0,36.0,0.0
