minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1,cp
1239,3.959902691015857,25.72296745601816,2.993551600283389,8.985634698607587,
1240,12.027729836403603,72.1826781208621,3.9038825460170883,9.633593361622266,
1241,7.541896252224924,42.58021594755645,3.565090391887313,8.870759180921008,
1242,5.896861396319384,23.26315028471423,1.8582717406553197,6.363306681074257,
1243,8.374438623580518,19.465756171138167,1.9710306214818174,8.185304931719891,
1244,10.076370034805267,82.30810876760505,3.3667257171445906,6.431317327369332,
1245,7.629927160570217,97.9987809148892,5.951505484890484,7.536784695332617,
1246,6.748054706242245,44.67332038850717,2.494976619645781,9.095545679679308,
1247,11.360322014015464,40.886800328454626,3.588018588602511,9.25187446679514,
1248,6.250847535503585,16.191735081248726,1.5257895137932938,8.19379819531451,
1249,20.915997348954903,46.30124336814275,3.184994940490769,6.950740281621156,
1250,7.073688599073149,47.801324936801464,3.561262774743942,10.628330400796049,
1251,7.681736255119818,54.3568124615306,2.5976110334829503,12.910067974304843,
1252,8.358009921284204,20.689122918763506,2.096381112326655,7.574965936900845,
1253,4.297722095370133,30.996636216514805,3.6047201922198706,9.212879718875758,
1254,8.196122106722255,29.270254293865275,3.921742641747047,6.678750783862083,
1255,6.020491754401888,40.07381860009415,2.563662134462031,17.114124545369354,
1256,24.375906618313152,86.47812351832069,4.329755252530997,14.32309548844669,
1257,7.741657676001995,47.066027376639575,3.3025848971017564,9.623239893720951,
1258,17.520895415884034,25.80720043577558,2.5157854402234103,12.206301215814177,
1259,52.35219838877655,14.601562344258072,1.5522362897062223,4.681306385078657,
1260,,22.93819115480396,1.7355073356566693,5.666319678416899,
1261,,8.396125444875315,1.729702487843768,10.419606417358388,
