minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1165,4.308121933333334,6.87172411666667,5.2297276833333335,2.135435199999999,0.0
1167,2.75,4.233333333333333,3.4,2.216666666666667,0.0
1168,2.8333333333333335,3.566666666666667,3.966666666666667,2.216666666666667,0.0
1169,3.3666666666666667,3.8333333333333335,3.6666666666666665,2.55,0.0
1170,2.2,3.15,3.85,1.95,0.0
1171,2.6666666666666665,4.85,4.15,2.25,0.0
1172,3.1166666666666667,3.1166666666666667,3.3833333333333333,2.1,0.0
1173,3.316666666666667,5.45,3.0166666666666666,1.8333333333333333,0.0
1174,3.4833333333333334,3.783333333333333,4.433333333333334,1.9166666666666667,0.0
1175,3.7,3.95,4.116666666666666,2.25,0.0
1176,3.1,4.233333333333333,3.5,2.316666666666667,0.0
1177,3.716666666666667,4.566666666666666,3.466666666666667,1.9666666666666666,0.0
1178,3.1,3.566666666666667,3.1,1.5333333333333334,0.0
