,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,258.487316,412.3034470000002,313.783661,128.12611199999995,0.0
1,165.0,254.0,204.0,133.0,0.0
2,170.0,214.0,238.0,133.0,0.0
3,202.0,230.0,220.0,153.0,0.0
4,132.0,189.0,231.0,117.0,0.0
5,160.0,291.0,249.0,135.0,0.0
6,187.0,187.0,203.0,126.0,0.0
7,199.0,327.0,181.0,110.0,0.0
8,209.0,227.0,266.0,115.0,0.0
9,222.0,237.0,247.0,135.0,0.0
10,186.0,254.0,210.0,139.0,0.0
11,223.0,274.0,208.0,118.0,0.0
12,186.0,214.0,186.0,92.0,0.0
