minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1217,33.702912793049606,60.20592178357007,10.014377192888436,10.452092665250134
1218,31.126633403952166,30.427212716837253,24.689911413156853,10.944046324343532
1219,35.98879900421497,26.642021229150856,19.07088502376394,12.279330657452286
1220,35.81758192388667,29.1471440703726,21.50568472066289,13.425493424045666
1221,32.131990945315145,33.901368288610485,17.134638598902043,9.689735142346258
1222,35.60877639225275,41.98162952872455,19.434231921613296,8.988953529879597
1223,30.601728739210692,31.014281216766385,23.98247807299579,9.654235508834724
1224,29.85861431376689,44.347974858470046,24.67151643463147,7.094871178784998
1225,42.17235353380673,33.350303502997306,26.624166089830343,11.494283475837474
1226,34.00488927124679,33.187529266425216,25.930590133720948,11.833152417776958
1227,32.21648521551257,35.666903139792126,24.15217159265181,11.404561610367045
1228,27.46512134546546,39.52674641921086,23.588606917477357,11.400447298067126
1229,32.15126984315995,30.62545644619526,28.15055989677938,6.880527472895822
