,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,243.15170099999997,344.1714959999999,211.81080999999998,0.0
1,148.225702,139.69526300000004,151.96018799999996,0.0
2,125.045721,140.864054,156.680002,0.0
3,123.066453,153.215652,193.81079699999998,0.0
4,124.77155399999997,133.45328300000006,143.114238,0.0
5,148.464706,164.960256,296.00080700000007,0.0
6,130.873914,150.50979600000005,237.325604,0.0
7,123.87920199999999,141.560223,277.959159,0.0
8,132.72472100000005,186.099593,397.7614250000001,0.0
9,139.884638,158.75158199999996,269.504723,0.0
10,132.44701600000005,215.105929,229.97148999999993,0.0
11,131.22687399999998,158.88993599999995,239.43991000000003,0.0
