minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1040,23.15418059438283,27.659999943063678,17.18220896742185,0.0
1042,23.188285008403135,26.1556978896384,22.406045166874705,0.0
1043,22.800507809699177,27.33981048496076,26.777418716032432,0.0
1044,22.281951553713053,25.8262118537073,27.97547898234582,0.0
1045,23.0144101696158,27.193509087288085,28.571129914403887,0.0
1046,21.223537565968623,24.92101174921803,33.581884851376465,0.0
1047,22.002797236425756,25.115674927811785,38.84501536455872,0.0
1048,21.01674397244059,24.95764116649062,38.049367442032946,0.0
1049,18.65875662899242,23.70108203642303,35.694302860576,0.0
1050,20.068286308024707,23.932715485077335,33.14357948156731,0.0
1051,20.048851400612744,25.121484849710942,35.277056261791785,0.0
1052,21.538574374892246,26.124487110211362,37.61030469854802,0.0
