minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1040,4.052528349999999,5.736191599999998,3.5301801666666663,0.0
1042,3.65,3.3,3.466666666666667,0.0
1043,3.066666666666667,3.216666666666667,3.55,0.0
1044,3.0833333333333335,3.55,4.333333333333333,0.0
1045,3.1,3.0,3.2333333333333334,0.0
1046,3.6166666666666667,3.8333333333333335,5.983333333333333,0.0
1047,3.183333333333333,3.45,4.833333333333333,0.0
1048,3.05,3.316666666666667,5.633333333333334,0.0
1049,3.183333333333333,4.183333333333334,8.083333333333334,0.0
1050,3.466666666666667,3.6333333333333333,5.55,0.0
1051,3.1666666666666665,4.833333333333333,4.633333333333334,0.0
1052,3.25,3.6,4.866666666666666,0.0
