minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1040,45.58399305781593,42.20285732419571,33.243513086233804,0.0
1042,46.01622052121929,40.226788276522775,43.6970873348957,0.0
1043,46.31504894031461,43.040750823289656,53.4553631078233,0.0
1044,43.82696685136939,39.36911301537138,54.076763028094575,0.0
1045,46.87235489646534,42.92288540279537,57.18594561630386,0.0
1046,39.47858682827105,35.926608816975815,61.38946643436662,0.0
1047,41.92360790907722,37.08790814455255,72.73794349554508,0.0
1048,40.08099053810361,36.88784461730987,71.31246030657722,0.0
1049,33.818497466243386,33.2925080166091,63.579261489356476,0.0
1050,37.9973071496536,35.11892716679844,61.67184027060164,0.0
1051,38.12138051396925,37.01955207415704,65.91988287768206,0.0
1052,40.602371460217775,38.16708131227673,69.67648995393205,0.0
