,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,243.15170099999997,344.1714959999999,211.81080999999998,0.0
1,219.0,198.0,208.0,0.0
2,184.0,193.0,213.0,0.0
3,185.0,213.0,260.0,0.0
4,186.0,180.0,194.0,0.0
5,217.0,230.0,359.0,0.0
6,191.0,207.0,290.0,0.0
7,183.0,199.0,338.0,0.0
8,191.0,251.0,485.0,0.0
9,208.0,218.0,333.0,0.0
10,190.0,290.0,278.0,0.0
11,195.0,216.0,292.0,0.0
