minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1040,22.429812461248932,14.542857400906009,16.061304115265067,0.0
1042,22.863451098397597,13.99718854190624,21.31787666644862,0.0
1043,23.66246554957304,15.399702094205036,26.815738845222207,0.0
1044,21.541016316468216,13.551114598446022,26.09733003598671,0.0
1045,24.018869091741763,15.403496139952226,28.773037047583106,0.0
1046,18.05774196665191,11.50833997726283,27.571241321021606,0.0
1047,19.79368398936384,12.262949331862279,33.72015917902607,0.0
1048,19.328147226795718,12.457464906403999,33.7658599893346,0.0
1049,14.947714913914192,10.305323379107495,27.592852104658867,0.0
1050,17.798772445393123,11.520546600317424,28.3651284900036,0.0
1051,17.916659580466042,12.184681892342915,30.4204381975679,0.0
1052,18.889025779825033,12.434883555162514,31.82768415952356,0.0
