minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1040,4.052528349999999,5.736191599999998,3.5301801666666663,0.0
1042,2.470428366666667,2.328254383333334,2.5326697999999994,0.0
1043,2.08409535,2.3477342333333335,2.6113333666666665,0.0
1044,2.05110755,2.5535942,3.2301799499999997,0.0
1045,2.0795258999999993,2.2242213833333344,2.3852373,0.0
1046,2.474411766666667,2.7493375999999996,4.933346783333334,0.0
1047,2.1812319000000002,2.508496600000001,3.9554267333333333,0.0
1048,2.0646533666666667,2.35933705,4.63265265,0.0
1049,2.212078683333334,3.1016598833333333,6.629357083333335,0.0
1050,2.3314106333333333,2.6458596999999995,4.491745383333334,0.0
1051,2.2074502666666675,3.5850988166666666,3.8328581666666657,0.0
1052,2.1871145666666663,2.648165599999999,3.990665166666667,0.0
