timestamp,cpu_pct,cpu_time
2023-08-23 18:51:18.647830782,5.7,00:00:00
2023-08-23 18:51:19.647100615,5.4,00:00:00
2023-08-23 18:51:20.646176991,5.1,00:00:00
2023-08-23 18:51:21.648652039,4.8,00:00:00
2023-08-23 18:51:22.649596095,4.6,00:00:00
2023-08-23 18:51:23.648098633,4.4,00:00:00
2023-08-23 18:51:24.649672416,4.4,00:00:00
2023-08-23 18:51:25.649655429,4.2,00:00:00
2023-08-23 18:51:26.647220275,4.1,00:00:00
2023-08-23 18:51:27.652686991,4,00:00:00
2023-08-23 18:51:28.651083179,3.8,00:00:00
2023-08-23 18:51:29.655270804,3.9,00:00:00
2023-08-23 18:51:30.652828213,3.8,00:00:00
2023-08-23 18:51:31.655086863,3.8,00:00:00
2023-08-23 18:51:32.652147766,4,00:00:00
2023-08-23 18:51:33.657783501,4.4,00:00:01
2023-08-23 18:51:34.658770307,4.6,00:00:01
2023-08-23 18:51:35.656178456,5,00:00:01
2023-08-23 18:51:36.657339951,5.4,00:00:01
2023-08-23 18:51:37.660344859,5.8,00:00:01
2023-08-23 18:51:38.656917842,6,00:00:01
2023-08-23 18:51:39.662024405,6.3,00:00:01
2023-08-23 18:51:40.650945154,6.6,00:00:02
2023-08-23 18:51:41.663020984,6.5,00:00:02
2023-08-23 18:51:42.652786223,6.5,00:00:02
2023-08-23 18:51:43.653627394,6.5,00:00:02
2023-08-23 18:51:44.66707834,6.5,00:00:02
2023-08-23 18:51:45.665335733,6.4,00:00:02
2023-08-23 18:51:46.657877184,6.3,00:00:02
2023-08-23 18:51:47.669956789,6.2,00:00:02
2023-08-23 18:51:48.670300094,6.2,00:00:02
2023-08-23 18:51:49.669888651,6.2,00:00:02
2023-08-23 18:51:50.670206141,6.1,00:00:02
2023-08-23 18:51:51.671816599,6.1,00:00:02
2023-08-23 18:51:52.668962371,6,00:00:02
2023-08-23 18:51:53.673700834,6,00:00:02
2023-08-23 18:51:54.673201476,6,00:00:02
2023-08-23 18:51:55.662699352,5.9,00:00:02
2023-08-23 18:51:56.674055413,5.9,00:00:02
2023-08-23 18:51:57.674751122,5.9,00:00:02
2023-08-23 18:51:58.674647332,5.8,00:00:02
2023-08-23 18:51:59.675476054,5.8,00:00:02
2023-08-23 18:52:00.673188001,5.8,00:00:02
2023-08-23 18:52:01.677639181,5.8,00:00:03
2023-08-23 18:52:02.67657811,5.7,00:00:03
2023-08-23 18:52:03.67860799,5.7,00:00:03
2023-08-23 18:52:04.681454003,5.7,00:00:03
2023-08-23 18:52:05.68096846,5.6,00:00:03
2023-08-23 18:52:06.681945273,5.6,00:00:03
2023-08-23 18:52:07.681427794,5.6,00:00:03
2023-08-23 18:52:08.682281053,5.5,00:00:03
2023-08-23 18:52:09.68222201,5.5,00:00:03
2023-08-23 18:52:10.683521309,5.5,00:00:03
2023-08-23 18:52:11.682954052,5.4,00:00:03
2023-08-23 18:52:12.684796377,5.4,00:00:03
2023-08-23 18:52:13.686531667,5.4,00:00:03
2023-08-23 18:52:14.682942407,5.4,00:00:03
2023-08-23 18:52:15.682767921,5.3,00:00:03
2023-08-23 18:52:16.673874564,5.3,00:00:03
2023-08-23 18:52:17.685911982,5.3,00:00:03
2023-08-23 18:52:18.687690072,5.3,00:00:03
2023-08-23 18:52:19.68697428,5.3,00:00:03
2023-08-23 18:52:20.690820338,5.3,00:00:03
2023-08-23 18:52:21.691188612,5.3,00:00:03
2023-08-23 18:52:22.693229293,5.4,00:00:03
2023-08-23 18:52:23.693496285,5.4,00:00:04
2023-08-23 18:52:24.693253311,5.4,00:00:04
2023-08-23 18:52:25.693713213,5.3,00:00:04
2023-08-23 18:52:26.69479962,5.4,00:00:04
2023-08-23 18:52:27.694300986,5.4,00:00:04
2023-08-23 18:52:28.694470948,5.4,00:00:04
2023-08-23 18:52:29.694827977,5.4,00:00:04
2023-08-23 18:52:30.69459697,5.4,00:00:04
2023-08-23 18:52:31.697559403,5.4,00:00:04
2023-08-23 18:52:32.697366633,5.4,00:00:04
2023-08-23 18:52:33.696504569,5.4,00:00:04
2023-08-23 18:52:34.697787998,5.3,00:00:04
2023-08-23 18:52:35.698321171,5.3,00:00:04
2023-08-23 18:52:36.698191284,5.3,00:00:04
2023-08-23 18:52:37.698186965,5.3,00:00:04
2023-08-23 18:52:38.701796228,5.3,00:00:04
2023-08-23 18:52:39.701454527,5.3,00:00:04
2023-08-23 18:52:40.702117362,5.3,00:00:04
2023-08-23 18:52:41.703534875,5.3,00:00:04
2023-08-23 18:52:42.702500068,5.3,00:00:04
2023-08-23 18:52:43.691168521,5.3,00:00:05
2023-08-23 18:52:44.695071243,5.3,00:00:05
