minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
822,16.262149117549967,6.816513120254027,10.252800286191048,6.181700476521208
823,14.715013718461684,7.012172308076355,7.575834082548791,5.388780496033256
824,15.126338326866605,8.58537827090488,6.899203055292747,7.65987035667592
825,9.13372884694847,8.388339949935403,16.563389519587787,9.213515118213659
826,11.082385880619816,10.775128676130798,15.426439679257166,10.077329579282106
827,14.502952615204043,9.347466535400152,10.464545779343325,8.950131429426252
828,10.304781974095558,7.607223314896982,13.00449721513551,7.527597176973815
829,9.093359582291903,7.166415616433605,15.904578325976722,7.914086718739693
830,10.843432339977005,9.152262795946205,16.435719556347532,9.808565832040504
831,9.085585552154093,7.522542217663266,16.952810690176623,8.481680129882669
832,6.810340963742997,9.067992404467162,16.53799102254659,6.914386687223686
833,9.147687488463884,6.709448844545501,10.49278177654243,8.116490953971754
834,9.664107355440628,6.235454114931152,16.309416697492313,4.577044351924214
835,0.0005809711779755497,14.632685544765266,12.15208899835824,4.843631791904557
