timestamp,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,cpu_time_process,x_rest
2023-08-18 20:35:51.001121,34.49,,,47.032293437012896,122.13,0.41639,0.9595,0.0,,,,,7.366374,4.04,9.0,6.0,00:00:00,12.542293437012894
2023-08-18 20:35:52.002267,10.55,,,53.0895674830351,122.26,0.43239,0.9558,0.0,64726634364.0,24610096.0,0.0332408,1.0,7.366374,4.04,9.0,3.5,00:00:00,42.5395674830351
2023-08-18 20:35:53.003465,32.89,,,44.67271568708227,122.16,0.5321,0.9581,0.0,64726634364.0,24610096.0,0.0332408,1.0,7.366374,3.72,7.0,2.6,00:00:00,11.782715687082266
2023-08-18 20:35:54.004074,15.71,,,50.500911751275176,122.33,0.40647,0.8339,0.0,64751244460.0,11056724.0,0.049931133333333336,2.0,24.610096,3.72,7.0,2.2,00:00:00,34.790911751275175
2023-08-18 20:35:55.005238,28.73,,,43.45078604124573,122.26,0.45177,0.942,0.0,64762301184.0,21532408.0,0.06659126666666666,3.0,11.056724,3.72,8.0,2.0,00:00:00,14.720786041245727
2023-08-18 20:35:56.006310,22.8,,,43.65686476404375,122.51,0.20533,0.5697,0.0,64783833592.0,16429094.0,0.08328041666666668,4.0,21.532408,3.72,8.0,1.8,00:00:00,20.856864764043753
2023-08-18 20:35:57.007452,24.81,,,46.494108394559596,122.09,0.63263,0.9788,0.0,64800262686.0,18660666.0,0.09994323333333334,5.0,16.429094,3.5,7.0,2.0,00:00:00,21.684108394559598
2023-08-18 20:35:58.007983,28.33,,,36.81696296270423,122.51,0.172,0.5357,0.0,64818923352.0,20589468.0,0.11662601666666667,6.0,18.660666,3.5,7.0,1.8,00:00:00,8.486962962704233
2023-08-18 20:35:59.009151,33.03,,,51.27590165135308,122.17,0.54404,0.9753,0.0,64839512820.0,24189948.0,0.13330791666666666,7.0,20.589468,3.5,10.0,1.7,00:00:00,18.24590165135308
2023-08-18 20:36:00.010252,18.78,,,40.56650204051017,122.41,0.22548,0.5917,0.0,64863702768.0,13815201.0,0.14998543333333333,8.0,24.189948,3.5,10.0,1.6,00:00:00,21.78650204051017
2023-08-18 20:36:01.011416,37.84,,,51.805987428695374,122.19,0.50877,0.9672,0.0,64877517969.0,27888975.0,0.16666525,9.0,13.815201,3.5,10.0,1.5,00:00:00,13.965987428695371
2023-08-18 20:36:02.011982,18.49,,,51.03904907689872,122.26,0.44272,0.953,0.0,64905406944.0,13633416.0,0.18334596666666667,11.0,27.888975,3.5,10.0,1.4,00:00:00,32.549049076898726
2023-08-18 20:36:03.013225,37.68,,,41.30910246895223,122.25,0.42546,0.9607,0.0,64919040360.0,28022286.0,0.20002124999999998,12.0,13.633416,3.3,10.0,1.4,00:00:00,3.629102468952233
2023-08-18 20:36:04.014533,11.95,,,53.59050830716288,122.28,0.40104,0.9628,0.0,64947062646.0,8177584.0,0.21670511666666667,13.0,28.022286,3.3,10.0,1.3,00:00:00,41.640508307162875
2023-08-18 20:36:05.015694,33.73,,,42.48031867360119,122.23,0.47286,0.9479,0.0,64955240230.0,25397501.0,0.23338085,14.0,8.177584,3.3,8.0,1.4,00:00:00,8.750318673601193
2023-08-18 20:36:06.016057,24.69,,,50.14941421368887,122.26,0.39794,0.7763,0.0,64980637731.0,17737365.0,0.25006271666666663,15.0,25.397501,3.3,8.0,1.3,00:00:00,25.45941421368887
2023-08-18 20:36:07.017264,31.85,,,41.45686555266391,122.12,0.55308,0.969,0.0,64998375096.0,23864320.0,0.2667395166666667,16.0,17.737365,3.12,9.0,1.2,00:00:00,9.606865552663912
2023-08-18 20:36:08.018527,26.18,,,40.5147883191935,122.5,0.17797,0.5366,0.0,65022239416.0,18755524.0,0.2834284,17.0,23.86432,3.12,9.0,1.2,00:00:00,14.3347883191935
2023-08-18 20:36:09.019682,30.64,,,49.61471096544094,122.06,0.54867,0.9767,0.0,65040994940.0,22676452.0,0.3000865166666667,18.0,18.755524,3.12,8.0,1.2,00:00:00,18.97471096544094
2023-08-18 20:36:10.019982,23.7,,,48.933483602802326,122.2,0.44077,0.8944,0.0,65063671392.0,17457432.0,0.31676695,19.0,22.676452,3.12,8.0,1.1,00:00:00,25.233483602802327
2023-08-18 20:36:11.021140,36.48,,,47.96858251303282,122.23,0.40024,0.9656,0.0,65081128824.0,26837832.0,0.33344593333333333,20.0,17.457432,3.12,10.0,1.1,00:00:00,11.488582513032824
2023-08-18 20:36:12.022211,17.34,,,50.28972256137919,122.23,0.40046,0.9657,0.0,65107966656.0,12530616.0,0.35012328333333337,21.0,26.837832,3.12,10.0,1.1,00:00:00,32.94972256137919
2023-08-18 20:36:13.023306,35.89,,,47.49218378698715,122.26,0.49647,0.8873,0.0,65120497272.0,26947840.0,0.36680165000000003,22.0,12.530616,2.95,9.0,1.1,00:00:00,11.602183786987148
2023-08-18 20:36:14.023993,15.31,,,57.836344427255625,122.17,0.53143,0.9752,0.0,65147445112.0,10735868.0,0.3834902,23.0,26.94784,2.95,9.0,1.0,00:00:00,42.52634442725562
2023-08-18 20:36:15.025208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-18 20:36:16.026547,19.28,,,44.97769159731588,122.48,0.26562,0.5505,0.0,65185999306.0,13562810.0,0.41683373333333334,25.0,27.818326,2.95,9.0,1.0,00:00:00,25.69769159731588
2023-08-18 20:36:17.027707,31.16,,,42.25316680251554,122.24,0.53944,0.8735,0.0,65199562116.0,23156384.0,0.43349103333333333,26.0,13.56281,2.79,8.0,1.0,00:00:00,11.093166802515537
2023-08-18 20:36:18.028775,28.0,,,46.514023149283986,122.43,0.31655,0.6501,0.0,65222718500.0,20580640.0,0.45016935,27.0,23.156384,2.79,8.0,1.0,00:00:00,18.514023149283986
2023-08-18 20:36:19.029920,32.31,,,46.459041058143086,122.12,0.57326,0.9628,0.0,65243299140.0,23771796.0,0.4668474166666667,28.0,20.58064,2.79,9.0,1.0,00:00:00,14.149041058143084
2023-08-18 20:36:20.030995,26.68,,,41.45938505806015,122.51,0.26372,0.619,0.0,65267070936.0,19608932.0,0.48352501666666664,29.0,23.771796,2.79,9.0,1.0,00:00:00,14.77938505806015
