minute,perf_rapl,ipmi,x_rest
1206,105.59875,244.125,138.52625
1207,104.62983333333334,252.88333333333333,148.25349999999997
1208,104.96033333333334,252.41666666666666,147.45633333333336
1209,107.05366666666667,253.95,146.89633333333333
1210,105.83084745762713,252.01694915254237,146.18610169491524
1211,117.82366666666667,267.03333333333336,149.20966666666666
1212,117.3625,266.5,149.1375
1213,108.25133333333333,255.8,147.54866666666666
1214,127.738,277.96666666666664,150.22866666666667
1215,107.41833333333334,254.81666666666666,147.39833333333334
1216,118.3125,266.1333333333333,147.82083333333333
1217,121.5127450980392,271.1764705882353,149.66372549019607
