,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,88.79023799999999,85.90527100000001,72.73358199999998,48.71409499999999,0.0
1,66.0,77.0,86.0,47.0,0.0
2,69.0,91.0,102.0,58.0,0.0
3,73.0,61.0,96.0,29.0,0.0
4,76.0,66.0,108.0,71.0,0.0
5,103.0,74.0,126.0,59.0,0.0
6,72.0,72.0,111.0,59.0,0.0
7,55.0,71.0,75.0,43.0,0.0
8,75.0,62.0,85.0,38.0,0.0
9,85.0,66.0,91.0,56.0,0.0
10,74.0,73.0,78.0,46.0,0.0
11,71.0,87.0,128.0,59.0,0.0
12,101.0,101.0,92.0,68.0,0.0
13,48.0,50.0,69.0,50.0,0.0
