minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1120,,,,,
1122,15.541398159393754,,4.197154074484062,12.839586801578427,14.626974399752196
1123,14.810343502435785,,3.8609289036513252,8.420354394473627,13.259535041351853
1124,14.852741338861682,,4.73308036250469,12.014449785539131,13.361141250967718
1125,15.86663158736374,,4.458831850396618,10.715932567214347,11.19624949252075
1126,14.96159118990666,,4.4002381199888605,9.650418292937411,10.426934789052162
1127,11.498609410057835,,3.9624106267047354,10.02726832561464,9.058615574906009
1128,12.65609410901842,,3.266762767934447,7.255971942018524,7.217520128605825
1129,15.721319897681433,,4.041753789536797,9.60528207248051,7.882769250721878
1130,16.027161070819943,,4.105326998582892,7.638013061332864,6.467875820884152
1131,19.056687344329834,,4.7373947544024935,9.217991293112672,4.723841259454198
1132,19.981968944000844,,4.415788226741024,8.139756905639258,5.82192425591327
1133,16.133974932676598,,3.872083780301317,7.5934989319262485,4.568109549213686
1134,12.723391752171226,,3.0356052254637866,6.57569355510128,3.287376988930956
1135,,,,,
