minute,perf_rapl,ipmi,x_rest
1099,120.03125,269.375,149.34375
1100,91.44033333333333,234.4,142.95966666666666
1101,98.07066666666667,244.85,146.77933333333334
1102,100.782,244.35,143.568
1103,99.54233333333333,244.98333333333332,145.44099999999997
1104,104.589,249.2,144.611
1105,90.09283333333333,235.78333333333333,145.69050000000001
1106,99.32883333333334,246.31666666666666,146.98783333333333
1107,102.76915254237288,250.0,147.23084745762714
1108,101.057,246.4,145.343
1109,94.779,241.95,147.171
1110,100.18983333333334,245.55,145.3601666666667
1111,96.94232558139537,244.8372093023256,147.8948837209302
