minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1097,3.953154696990637,9.657512959190736,3.066086396237428,
1099,6.805229722050518,14.520010543476735,3.174478944733069,
1100,7.3452356757712085,13.310388806953709,3.139882696749379,
1101,6.511060761563689,13.294868194388547,2.602063446883288,
1102,5.613837443413278,11.965896994866108,3.4036616947929565,
1103,4.875621545711052,10.909161065200024,2.8367146001798655,
1104,8.704738156339044,15.426085353558822,3.446582610535846,
1105,5.179028710866027,16.499285912903282,3.4197946682901987,
1106,6.269984180058745,10.805297268519423,3.2538758489143103,
1107,6.352053844661639,12.156118383240257,3.1659553492868593,
1108,6.974743128199654,14.599997367337647,3.0812620140720886,
1109,5.921937992714058,14.15117559995535,3.104874314811926,
1110,,,,
