minutes,cp,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1097,,,,
1099,,10.422476621175912,33.17796082557634,61.88827971432537
1100,,5.52774816286172,14.382165939827381,37.13808832270634
1101,,5.363511887820172,24.338447058040085,37.75073911734172
1102,,4.623007531240744,20.99325513495789,33.810613876174216
1103,,2.4705111010325194,19.27662179257094,30.162070195565942
1104,,3.3137909043593736,28.935840409675595,61.02468470881856
1105,,4.516286606594101,29.089784338928816,28.733208659835547
1106,,3.0341937808805035,19.071056482576974,50.95129844885977
1107,,4.633558734982342,25.830700559900617,37.939431461745926
1108,,5.173781371756344,27.524823130518364,34.49856290765765
1109,,5.5204878702892755,28.01119737126569,35.0403285345435
1110,,9.210835575635302,28.31334375593077,63.58659587517672
1111,,,,
