minutes,cp,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1097,,3.6975376836657317,25.874663864415574,32.3471786728157
1099,,3.828253352077106,38.90239585572484,55.684636347851324
1100,,3.7865321106958727,35.6615453419455,60.103302048610466
1101,,3.1379506011138063,35.61996210671813,53.27756233880542
1102,,4.104635601394179,32.05934735854866,45.93592124296832
1103,,3.42092745489537,29.228112537627247,39.89537808884761
1104,,4.156395950864934,41.32997542470454,71.22759973383411
1105,,4.124091112344176,44.20532271644327,42.378044853533474
1106,,3.924001810286502,28.94983790955802,51.30492330656405
1107,,3.817974347740712,32.568993527785175,51.97646851741775
1108,,3.7158386744288836,39.11669866740408,57.07170082076908
1109,,3.7443138576105244,37.91420353070348,48.45699220561287
1110,,,,
