minutes,cp,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1097,,,,
1099,,8.642566085116615,12.383410594685355,7.563378126914074
1100,,4.583740557628068,5.368029307469875,4.538652652682188
1101,,4.447551922986658,9.08413222684811,4.613524819770543
1102,,3.8335080569585465,7.835565887303271,4.132001384252423
1103,,2.048606701722568,7.194846114588445,3.6861121852573557
1104,,2.7478744183503845,10.800072812765364,7.457838021334915
1105,,3.745012522024998,10.857531162738224,3.511490752320182
1106,,2.5160258179932447,7.118120493895183,6.226767620699857
1107,,3.842257366640759,9.641104004651003,4.636584946130018
1108,,4.290222855909325,10.273421810437037,4.216075762812813
1109,,4.577720149942322,10.454957136176812,4.282285040421055
1110,,7.637844444748661,10.567730876572668,7.7709296594960104
1111,,,,
