,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,89.34333899999996,87.71835300000001,72.84207000000002,35.36234900000001,0.0
1,66.0,76.0,84.0,36.0,0.0
2,67.0,92.0,100.0,63.0,0.0
3,76.0,62.0,97.0,22.0,0.0
4,71.0,63.0,107.0,31.0,0.0
5,103.0,73.0,126.0,54.0,0.0
6,71.0,71.0,107.0,21.0,0.0
7,57.0,73.0,76.0,74.0,0.0
8,78.0,60.0,86.0,37.0,0.0
9,83.0,65.0,88.0,49.0,0.0
10,75.0,70.0,79.0,54.0,0.0
11,71.0,85.0,120.0,36.0,0.0
12,99.0,100.0,98.0,70.0,0.0
13,49.0,51.0,90.0,47.0,0.0
