minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1120,10.798736994334028,14.718339773521937,6.059094317287741,7.282517892706943,0.0
1122,12.784309282700109,17.825201331423457,7.893177276657651,10.691216399807482,0.0
1123,11.816636758327784,17.042689690772495,7.937946678902252,11.731815159570735,0.0
1124,12.536274163547438,17.03002033687926,7.996854449047175,15.228717936247977,0.0
1125,13.279914711380615,17.550392024554096,7.743708961380955,13.031585805079022,0.0
1126,12.679569062411678,17.058307690718078,7.640282481456695,10.01661806462161,0.0
1127,13.42937173109804,18.05336012514772,8.428848348932952,13.069043822283422,0.0
1128,14.42934559793242,19.031842761053323,8.425964295458892,16.494733990354536,0.0
1129,13.042448099533898,17.881101105740004,7.916379268030623,16.982205352292407,0.0
1130,12.553043663604994,17.570236494443385,7.67312464453173,18.204588692912644,0.0
1131,11.998866257537193,16.183156831071496,8.161717582608317,17.771644052061525,0.0
1132,12.23606212358584,17.42892314386229,7.694850084143093,18.53717419641733,0.0
1133,12.67955902402909,17.18789390557816,7.877095099648164,18.997818515386204,0.0
1134,13.79562448927153,18.094858669317617,10.311968125586679,22.784843441326856,0.0
