,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,143.0,110.0,173.0,124.0
1,188.0,162.0,206.0,116.0
2,145.0,124.0,185.0,152.0
3,117.0,114.0,241.0,102.0
4,165.0,137.0,341.0,127.0
5,178.0,146.0,283.0,218.0
6,141.0,98.0,310.0,154.0
7,193.0,101.0,386.0,202.0
8,142.0,167.0,340.0,166.0
9,169.0,123.0,462.0,156.0
10,146.0,150.0,469.0,134.0
11,66.0,58.0,112.0,56.0
