minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1035,14.679680525915492,6.026410842845521,13.996551141398891,20.494603046538554
1036,16.237031123779154,7.286099473746039,13.627565734646586,21.559847395726234
1037,14.397650705016659,5.579383059028628,12.586461555094093,20.050656367020206
1038,13.480759746230719,6.491724122136951,17.744265530279094,21.43087260639255
1039,15.648377622405851,8.78557877809571,20.6380031813844,24.29863526147402
1040,14.220165095167202,8.167988801462913,21.202359258174493,26.030637916335273
1041,13.77259532149809,7.765625905164655,22.133664660586778,23.573248161543063
1042,15.055012858039355,8.410585498983123,25.7517153755482,25.162489286305902
1043,17.113720816523816,10.553580519473254,31.583912825381024,21.36162338131517
1044,17.51469386577145,8.018811940981866,32.22090723944845,22.14828282024898
1045,16.045852623416195,8.07150578974946,34.2164830134064,21.426857301321963
1046,14.075275133163457,8.16076820768433,25.74898417739629,22.189586392078557
