,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,88.816532,57.487045,122.67197900000002,78.91269600000003
1,127.92017599999997,92.38834999999999,150.11668500000002,74.18378999999999
2,92.32835399999998,60.43339499999998,134.36139799999998,97.304575
3,75.13344299999999,53.58571599999999,192.83151500000005,61.55355699999999
4,114.50185299999997,77.77968900000002,282.94859699999995,86.62722600000004
5,123.41084299999999,76.607222,235.19271599999996,152.83100199999993
6,92.31281600000003,49.144400999999995,265.31889799999993,104.01276800000001
7,132.29957199999998,55.845196,335.25660600000003,146.97307700000002
8,99.593819,101.615595,305.9878609999999,113.63556499999999
9,121.74481500000002,74.48826599999997,409.3513439999999,110.31833099999999
10,105.33182500000004,93.935439,424.04986800000006,93.02722300000002
11,46.750526,34.59698600000001,97.413743,42.23353099999999
