,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
0,129.0,114.0,112.0,91.0
1,167.0,103.0,138.0,62.0
2,125.0,151.0,115.0,72.0
3,105.0,89.0,100.0,68.0
4,141.0,115.0,122.0,99.0
5,131.0,159.0,100.0,53.0
6,125.0,123.0,89.0,84.0
7,142.0,136.0,71.0,74.0
8,96.0,126.0,106.0,83.0
9,119.0,109.0,93.0,83.0
10,106.0,95.0,108.0,66.0
