timestamp,load_avg_1minute,cpu_pct
2023-08-06 21:55:15.323749274,1.85,4.0
2023-08-06 21:55:20.323532032,1.78,1.0
2023-08-06 21:55:25.325035096,1.72,1.0
2023-08-06 21:55:30.323903797,1.66,1.0
2023-08-06 21:55:35.326605625,1.61,3.0
2023-08-06 21:55:40.326894725,1.56,2.0
2023-08-06 21:55:45.327084879,1.51,1.0
2023-08-06 21:55:50.327132792,1.47,1.0
2023-08-06 21:55:55.328357741,1.43,1.0
2023-08-06 21:56:00.328889371,1.4,1.0
2023-08-06 21:56:05.328519776,1.37,1.0
2023-08-06 21:56:10.329740501,1.5,1.0
2023-08-06 21:56:15.328138573,1.46,3.0
2023-08-06 21:56:20.330247627,1.5,13.0
2023-08-06 21:56:25.331135773,1.7,5.0
2023-08-06 21:56:30.330878114,1.64,1.0
2023-08-06 21:56:35.333436805,1.67,4.0
2023-08-06 21:56:40.331744124,1.62,2.0
2023-08-06 21:56:45.334229471,1.73,6.0
2023-08-06 21:56:50.335256306,1.67,4.0
2023-08-06 21:56:55.336318085,1.62,1.0
2023-08-06 21:57:00.335448484,1.57,1.0
2023-08-06 21:57:05.338295434,1.52,5.0
2023-08-06 21:57:10.338165777,1.48,1.0
2023-08-06 21:57:15.336724299,1.44,2.0
2023-08-06 21:57:20.339428271,1.49,2.0
2023-08-06 21:57:25.340066846,1.45,1.0
2023-08-06 21:57:30.340790414,1.41,1.0
2023-08-06 21:57:35.341418429,1.38,1.0
2023-08-06 21:57:40.341745385,1.35,2.0
2023-08-06 21:57:45.342284951,1.32,1.0
2023-08-06 21:57:50.343700462,1.45,1.0
2023-08-06 21:57:55.344532575,1.98,2.0
2023-08-06 21:58:00.344812363,1.9,1.0
2023-08-06 21:58:05.345102806,1.83,4.0
2023-08-06 21:58:10.342984617,1.76,1.0
2023-08-06 21:58:15.345819534,1.7,1.0
2023-08-06 21:58:20.346762465,1.72,10.0
2023-08-06 21:58:25.348504571,1.75,1.0
2023-08-06 21:58:30.349263563,1.69,1.0
2023-08-06 21:58:35.350111197,1.79,1.0
2023-08-06 21:58:40.350399624,1.73,1.0
2023-08-06 21:58:45.353407824,1.67,4.0
2023-08-06 21:58:50.353175286,1.62,1.0
2023-08-06 21:58:55.354016359,1.57,2.0
2023-08-06 21:59:00.354757495,1.76,1.0
2023-08-06 21:59:05.353255664,1.86,2.0
2023-08-06 21:59:10.357034879,1.87,4.0
2023-08-06 21:59:15.355613817,2.2,4.0
2023-08-06 21:59:20.357715447,2.11,1.0
2023-08-06 21:59:25.357814113,2.02,2.0
2023-08-06 21:59:30.358423536,2.1,1.0
2023-08-06 21:59:35.356803495,2.09,1.0
2023-08-06 21:59:40.359293673,2.24,2.0
2023-08-06 21:59:45.359593877,2.62,7.0
2023-08-06 21:59:50.358798645,2.49,2.0
2023-08-06 21:59:55.361263351,2.37,1.0
2023-08-06 22:00:00.361761733,2.26,2.0
2023-08-06 22:00:05.362151793,2.16,2.0
2023-08-06 22:00:10.360837964,2.15,2.0
2023-08-06 22:00:15.363065964,2.06,2.0
2023-08-06 22:00:20.361556708,1.97,2.0
2023-08-06 22:00:25.363983366,1.89,2.0
2023-08-06 22:00:30.364421395,1.82,2.0
2023-08-06 22:00:35.366135437,1.92,1.0
2023-08-06 22:00:40.363900446,1.84,2.0
2023-08-06 22:00:45.366445505,2.1,3.0
2023-08-06 22:00:50.366674764,2.17,1.0
2023-08-06 22:00:55.368176132,2.07,1.0
2023-08-06 22:01:00.368521616,1.99,2.0
2023-08-06 22:01:05.370061832,1.91,1.0
2023-08-06 22:01:10.370183058,1.84,3.0
2023-08-06 22:01:15.371725258,1.85,2.0
2023-08-06 22:01:20.373817449,2.1,2.0
2023-08-06 22:01:25.372173280,2.17,1.0
2023-08-06 22:01:30.374420064,2.32,2.0
2023-08-06 22:01:35.375779574,2.45,4.0
2023-08-06 22:01:40.376702728,2.34,1.0
2023-08-06 22:01:45.377745435,2.31,2.0
2023-08-06 22:01:50.378161512,2.29,2.0
2023-08-06 22:01:55.378480820,2.18,1.0
2023-08-06 22:02:00.379362181,2.41,2.0
2023-08-06 22:02:05.379662193,2.3,1.0
2023-08-06 22:02:10.381825648,2.19,1.0
2023-08-06 22:02:15.381781624,2.18,2.0
2023-08-06 22:02:20.382497832,2.08,2.0
2023-08-06 22:02:25.383183287,1.99,1.0
2023-08-06 22:02:30.383426786,2.08,1.0
2023-08-06 22:02:35.383737934,2.07,2.0
2023-08-06 22:02:40.384512862,2.06,2.0
2023-08-06 22:02:45.385132557,1.98,3.0
2023-08-06 22:02:50.385720028,1.98,1.0
2023-08-06 22:02:55.386269066,1.9,1.0
2023-08-06 22:03:00.387399774,1.83,1.0
2023-08-06 22:03:05.387872235,1.76,1.0
2023-08-06 22:03:10.388721917,1.94,4.0
2023-08-06 22:03:15.389591758,2.27,1.0
2023-08-06 22:03:20.388067175,2.16,2.0
2023-08-06 22:03:25.390704138,2.15,3.0
2023-08-06 22:03:30.392038561,2.06,1.0
2023-08-06 22:03:35.393179605,1.97,1.0
2023-08-06 22:03:40.393912101,1.9,1.0
2023-08-06 22:03:45.394890615,1.82,3.0
2023-08-06 22:03:50.395550247,1.84,2.0
2023-08-06 22:03:55.396170454,1.77,1.0
2023-08-06 22:04:00.396939014,1.71,2.0
2023-08-06 22:04:05.397953465,1.65,1.0
2023-08-06 22:04:10.398319685,1.6,3.0
2023-08-06 22:04:15.399516218,1.55,2.0
2023-08-06 22:04:20.400162985,1.67,1.0
2023-08-06 22:04:25.399140135,1.61,2.0
2023-08-06 22:04:30.400275067,1.56,3.0
2023-08-06 22:04:35.399489787,1.52,1.0
2023-08-06 22:04:40.401806300,1.48,1.0
2023-08-06 22:04:45.402663309,1.52,1.0
2023-08-06 22:04:50.402574389,1.48,2.0
2023-08-06 22:04:55.404009964,1.44,2.0
2023-08-06 22:05:00.404908542,1.4,1.0
2023-08-06 22:05:05.403050291,1.37,2.0
2023-08-06 22:05:10.405812248,1.74,1.0
2023-08-06 22:05:15.404987288,2.0,2.0
2023-08-06 22:05:20.409837107,2.08,9.0
2023-08-06 22:05:25.407741509,2.08,1.0
2023-08-06 22:05:30.410212103,1.99,1.0
2023-08-06 22:05:35.410391602,1.99,5.0
2023-08-06 22:05:40.410537212,2.07,2.0
2023-08-06 22:05:45.412176021,2.07,1.0
2023-08-06 22:05:50.413193064,1.98,2.0
2023-08-06 22:05:55.413458963,1.98,5.0
2023-08-06 22:06:00.413674846,2.14,1.0
2023-08-06 22:06:05.414258988,2.05,4.0
2023-08-06 22:06:10.414542392,2.05,2.0
2023-08-06 22:06:15.412918063,2.04,2.0
2023-08-06 22:06:20.414797131,2.04,2.0
2023-08-06 22:06:25.416128673,2.36,1.0
2023-08-06 22:06:30.416662319,2.25,1.0
2023-08-06 22:06:35.415031271,2.31,2.0
2023-08-06 22:06:40.417237734,2.2,1.0
2023-08-06 22:06:45.417973718,2.11,1.0
2023-08-06 22:06:50.418478820,2.02,3.0
2023-08-06 22:06:55.416779707,1.94,2.0
2023-08-06 22:07:00.418967194,2.1,2.0
2023-08-06 22:07:05.420985079,2.09,7.0
2023-08-06 22:07:10.421321027,2.25,1.0
2023-08-06 22:07:15.420226816,2.31,2.0
2023-08-06 22:07:20.422079324,2.2,3.0
2023-08-06 22:07:25.424704703,2.19,1.0
2023-08-06 22:07:30.424337572,2.09,2.0
2023-08-06 22:07:35.425045044,2.16,0.0
2023-08-06 22:07:40.425734307,2.07,1.0
2023-08-06 22:07:45.424293085,1.98,4.0
2023-08-06 22:07:50.426714814,2.39,1.0
2023-08-06 22:07:55.424595857,2.27,4.0
2023-08-06 22:08:00.425207840,2.17,4.0
2023-08-06 22:08:05.428688492,2.48,2.0
2023-08-06 22:08:10.427522121,2.36,2.0
2023-08-06 22:08:15.429663207,2.25,4.0
2023-08-06 22:08:20.430171733,2.39,1.0
2023-08-06 22:08:25.430093085,2.28,1.0
2023-08-06 22:08:30.431952664,2.18,1.0
2023-08-06 22:08:35.432529223,2.16,5.0
2023-08-06 22:08:40.433458521,2.39,3.0
2023-08-06 22:08:45.432293781,2.28,1.0
2023-08-06 22:08:50.434996441,2.34,7.0
2023-08-06 22:08:55.435373350,2.23,1.0
2023-08-06 22:09:00.433839198,2.13,2.0
2023-08-06 22:09:05.437017608,2.04,2.0
2023-08-06 22:09:10.436503819,2.28,1.0
2023-08-06 22:09:15.437002392,2.25,3.0
