,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,91.95758599999999,91.60179900000001,77.763421,74.94349399999999,0.0
1,69.0,75.0,86.0,61.0,0.0
2,70.0,95.0,103.0,75.0,0.0
3,73.0,62.0,95.0,67.0,0.0
4,77.0,66.0,114.0,89.0,0.0
5,111.0,83.0,139.0,105.0,0.0
6,74.0,76.0,108.0,67.0,0.0
7,58.0,81.0,84.0,117.0,0.0
8,79.0,64.0,89.0,76.0,0.0
9,89.0,67.0,96.0,110.0,0.0
10,78.0,74.0,74.0,91.0,0.0
11,79.0,93.0,137.0,115.0,0.0
12,100.0,109.0,98.0,105.0,0.0
13,49.0,51.0,95.0,71.0,0.0
