,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,91.95758599999999,91.60179900000001,77.763421,74.94349399999999,0.0
1,38.404430999999995,46.25809100000001,37.688002,38.48390000000001,0.0
2,42.813181000000014,59.594857000000005,41.442067,49.73914499999999,0.0
3,47.36859400000001,36.645745999999995,39.395224000000006,44.012460999999995,0.0
4,47.524091,39.37080199999999,49.10942000000001,61.80455700000002,0.0
5,73.93010499999998,52.915789999999994,65.956697,78.12362099999999,0.0
6,43.627645,43.038506000000005,47.534716,51.244591,0.0
7,36.394026,48.63410400000001,38.32892999999999,88.602171,0.0
8,48.75445699999999,37.13715099999999,38.60972,57.12763100000001,0.0
9,55.107235999999986,37.035969,43.18233399999999,83.51188100000002,0.0
10,44.531705,44.28577000000001,29.820575,63.33799,0.0
11,49.51695699999999,57.51128100000002,68.392674,92.528404,0.0
12,58.84898100000001,60.79986899999999,42.983244,83.87656000000001,0.0
13,30.743370000000002,27.955050999999997,45.142762000000005,56.721401,0.0
