minute,perf_rapl,ipmi,x_rest
1150,86.25210526315789,231.47368421052633,145.2215789473684
1151,89.47766666666666,234.13333333333333,144.65566666666666
1152,90.42983333333333,234.81666666666666,144.38683333333333
1153,88.4085,232.96666666666667,144.55816666666666
1154,87.24457627118645,230.15254237288136,142.9079661016949
1155,88.48783333333334,233.3,144.81216666666666
1156,85.6805,227.65,141.9695
1157,90.55466666666666,232.66666666666666,142.112
1158,96.893,241.96666666666667,145.07366666666667
1159,89.30199999999999,231.35,142.04799999999997
1160,94.2105,241.06666666666666,146.85616666666667
1161,89.65766666666667,234.35,144.69233333333335
1162,79.29642857142858,222.85714285714286,143.56071428571428
