minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1148,,,,
1150,,6.859315380415671,8.662614787038532,9.989674034856337
1151,,6.404176572582965,8.24494479311226,10.145294631724246
1152,,6.303639028268299,7.250463069394961,10.367430625940074
1153,,6.281835264377601,11.28341376291337,10.641942138944534
1154,,5.703234552320698,7.490085866650631,9.379181606098943
1155,,6.756321419421709,7.491505805199261,11.676527594984377
1156,,7.335641200285198,8.463194568529772,11.830360900327266
1157,,6.78809592305709,9.067969718154112,7.888094104522357
1158,,8.071691646154408,8.565421574012662,10.76900935846411
1159,,5.407226426402875,8.494679371496177,10.338695562449425
1160,,5.758641709555465,9.18719788006904,10.49378551243775
1161,,7.186758160836794,9.983803028920246,11.624982556539218
1162,,,,
