timestamp,power,voltage,current,power_factor,discard
2023-03-16 01:13:58.130229,37.338,121.42,0.32374,0.9499,0
2023-03-16 01:13:58.380801,36.922,121.48,0.3258,0.9328,0
2023-03-16 01:13:58.631358,43.933,121.46,0.38153,0.948,0
2023-03-16 01:13:58.881901,39.57,121.5,0.34426,0.946,0
2023-03-16 01:13:59.132446,38.424,121.5,0.33613,0.9408,0
2023-03-16 01:13:59.382996,41.756,121.47,0.3587,0.9583,0
2023-03-16 01:13:59.633551,39.372,121.48,0.34023,0.9526,0
2023-03-16 01:13:59.884107,41.584,121.45,0.35753,0.9577,0
2023-03-16 01:14:00.134686,41.972,121.45,0.36169,0.9555,0
2023-03-16 01:14:00.385256,38.442,121.49,0.3338,0.948,0
2023-03-16 01:14:00.635829,42.821,121.41,0.3682,0.9579,0
2023-03-16 01:14:00.886404,40.403,121.46,0.3491,0.9529,0
2023-03-16 01:14:01.136950,32.064,121.5,0.2803,0.9415,0
2023-03-16 01:14:01.387506,32.833,121.45,0.29065,0.9302,0
2023-03-16 01:14:01.638061,41.993,121.4,0.36542,0.9466,0
2023-03-16 01:14:01.888565,33.512,121.48,0.29462,0.9363,0
2023-03-16 01:14:02.139118,34.638,121.49,0.3153,0.9042,0
2023-03-16 01:14:02.389696,29.424,121.52,0.27897,0.8679,0
2023-03-16 01:14:02.640238,40.588,121.43,0.35215,0.9491,0
2023-03-16 01:14:02.890783,37.715,121.43,0.34568,0.8985,0
2023-03-16 01:14:03.141331,35.693,121.44,0.31234,0.941,0
2023-03-16 01:14:03.391880,27.116,121.53,0.25307,0.8816,0
2023-03-16 01:14:03.642420,35.254,121.5,0.31269,0.928,0
2023-03-16 01:14:03.892968,32.802,121.5,0.28973,0.9318,0
2023-03-16 01:14:04.143528,34.659,121.48,0.30658,0.9306,0
2023-03-16 01:14:04.394075,36.007,121.49,0.31974,0.9269,0
2023-03-16 01:14:04.644620,39.236,121.47,0.34225,0.9438,0
2023-03-16 01:14:04.895178,38.864,121.47,0.3361,0.952,0
2023-03-16 01:14:05.145721,33.757,121.51,0.31506,0.8818,0
2023-03-16 01:14:05.396289,36.685,121.49,0.32962,0.9161,0
2023-03-16 01:14:05.646851,39.957,121.44,0.34561,0.952,0
2023-03-16 01:14:05.897411,34.658,121.47,0.30935,0.9223,0
2023-03-16 01:14:06.147983,39.501,121.44,0.35936,0.9051,0
2023-03-16 01:14:06.398542,35.358,121.48,0.30706,0.9479,0
2023-03-16 01:14:06.649126,39.512,121.42,0.34389,0.9463,0
2023-03-16 01:14:06.899682,39.664,121.46,0.34184,0.9553,0
2023-03-16 01:14:07.150258,35.991,121.49,0.31483,0.941,0
2023-03-16 01:14:07.400811,34.916,121.51,0.30994,0.9271,0
2023-03-16 01:14:07.651391,43.481,121.43,0.39271,0.9118,0
2023-03-16 01:14:07.901931,33.794,121.5,0.3012,0.9234,0
2023-03-16 01:14:08.152478,39.812,121.46,0.34537,0.9491,0
2023-03-16 01:14:08.403020,37.042,121.49,0.32139,0.9487,0
2023-03-16 01:14:08.653572,38.423,121.49,0.33156,0.9538,0
2023-03-16 01:14:08.904120,42.024,121.47,0.38726,0.8934,0
2023-03-16 01:14:09.154664,42.486,121.45,0.3657,0.9566,0
2023-03-16 01:14:09.405207,38.861,121.5,0.33581,0.9525,0
2023-03-16 01:14:09.655785,33.84,121.53,0.30023,0.9275,0
2023-03-16 01:14:09.906318,24.947,121.61,0.22728,0.9026,0
2023-03-16 01:14:10.156845,39.753,121.5,0.34317,0.9535,0
2023-03-16 01:14:10.407407,40.623,121.48,0.3502,0.9549,0
2023-03-16 01:14:10.657953,43.178,121.44,0.37076,0.959,0
2023-03-16 01:14:10.908496,39.235,121.46,0.33786,0.9561,0
2023-03-16 01:14:11.159072,41.336,121.43,0.35495,0.959,0
2023-03-16 01:14:11.409662,36.746,121.49,0.32281,0.937,0
2023-03-16 01:14:11.660221,46.482,121.39,0.41008,0.9337,0
2023-03-16 01:14:11.910756,40.839,121.46,0.35091,0.9582,0
2023-03-16 01:14:12.161323,39.771,121.47,0.34485,0.9494,0
2023-03-16 01:14:12.411899,36.899,121.48,0.32188,0.9436,0
2023-03-16 01:14:12.662491,38.233,121.45,0.34206,0.9203,0
2023-03-16 01:14:12.913049,39.753,121.45,0.34596,0.9461,0
2023-03-16 01:14:13.163586,39.259,121.47,0.34022,0.9499,0
2023-03-16 01:14:13.414123,40.328,121.5,0.34736,0.9556,0
2023-03-16 01:14:13.664658,39.024,121.47,0.33796,0.9506,0
2023-03-16 01:14:13.915195,36.268,121.5,0.31639,0.9435,0
2023-03-16 01:14:14.165736,29.875,121.53,0.26756,0.9187,0
2023-03-16 01:14:14.416308,27.696,121.56,0.25571,0.891,0
2023-03-16 01:14:14.666886,30.315,121.55,0.27783,0.8976,0
2023-03-16 01:14:14.917439,31.668,121.53,0.27934,0.9328,0
2023-03-16 01:14:15.167970,25.899,121.58,0.23419,0.9096,0
2023-03-16 01:14:15.418610,38.428,121.49,0.34081,0.9281,0
2023-03-16 01:14:15.669151,35.964,121.52,0.31327,0.9447,0
2023-03-16 01:14:15.919719,31.872,121.53,0.28399,0.9234,0
2023-03-16 01:14:16.170294,35.133,121.49,0.3117,0.9277,0
2023-03-16 01:14:16.420881,35.909,121.5,0.31944,0.9253,0
2023-03-16 01:14:16.671422,39.82,121.47,0.34494,0.9504,0
2023-03-16 01:14:16.921976,41.796,121.43,0.36253,0.9494,0
2023-03-16 01:14:17.172513,32.496,121.53,0.28846,0.9269,0
