minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1062,3.1799828410170807,2.7641363703563737,128.5656447503764
1063,2.9938865201056766,2.7194131055068826,15.663175443825764
1064,2.1256860272105293,2.760589485348877,28.581179335803025
1065,3.3248482189098714,3.113547023670917,12.487066131474261
1066,2.851036695447526,2.3108373626190364,22.669623962109316
1067,2.881347530812466,3.5187817557850223,24.118910495351287
1068,2.810978400697575,3.3464881997071196,73.76906570520512
1069,3.181806840127641,2.4419895589103953,47.21467045275722
1070,5.13990633651063,2.4640521612735404,31.023651316654174
1071,2.7174936678388972,2.3935358716966397,19.22821490572497
1072,3.261539706881505,3.0399346402538554,29.15029987966118
