minutes,cnn_image_classification_gpu-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1062,676.8948236551118,3.3397790262167195,12.328248480339095
1063,82.46621716488129,3.2857419593302515,11.606784937869499
1064,150.47917648549634,3.335493487961994,8.240920421524846
1065,65.74408305924389,3.761955871032136,12.889866722998963
1066,119.35498899378217,2.792078654092596,11.052980649669223
1067,126.98544543686457,4.251582386396409,11.170490563624016
1068,388.3922397673115,4.043407995612974,10.897681506225386
1069,248.5840295213061,2.9505438293689035,12.33531981228871
1070,163.33872884857777,2.9772010585224313,19.926535975239904
1071,101.23605853713256,2.8919994644689537,10.53525721860524
1072,153.4755815587283,3.6730134089876794,12.644430471853466
