,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,248.58296600000003,351.46386500000006,159.81539500000005,149.40928499999995,0.0
1,219.0,192.0,124.0,170.0,0.0
2,184.0,201.0,146.0,153.0,0.0
3,184.0,219.0,145.0,216.0,0.0
4,181.0,188.0,98.0,169.0,0.0
5,215.0,229.0,113.0,271.0,0.0
6,198.0,215.0,132.0,217.0,0.0
7,190.0,197.0,167.0,268.0,0.0
8,192.0,252.0,147.0,340.0,0.0
9,206.0,222.0,113.0,287.0,0.0
10,203.0,304.0,149.0,306.0,0.0
11,193.0,223.0,135.0,304.0,0.0
