minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1085,,,,
1087,,7.237429715726524,10.901995145341477,11.800859038534334
1088,,3.5680125558295277,6.4973024831000155,12.141389726377842
1089,,4.028386322988067,8.562780009860447,15.749395710620927
1090,,4.556468137030454,6.880397882560036,7.25484296721642
1091,,3.906337109584374,6.8726790312214145,11.696540015261036
1092,,3.9459405410774546,7.776247604664866,9.616406485020969
1093,,3.9861324392445896,9.555750662034642,7.4035570372800645
1094,,4.746602806154723,6.597196654311466,12.539679761798071
1095,,5.03159295292349,8.13292017064685,7.726369580620161
1096,,4.738186416256588,3.831733067313414,4.284521680189079
1097,,3.4073074554694336,2.770512830241491,1.7431103230614662
1098,,3.8640075985919267,5.259108630442568,6.736604886807535
1099,,7.7452167757494035,9.179977249241595,21.6456619698637
1100,,,,
