minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1203,1.4833333333333334,0.85,1.4666666666666666
1204,1.3666666666666667,1.05,1.0166666666666666
1205,1.2333333333333334,1.1666666666666667,1.0333333333333334
