timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823106114,sensor,all,1,38,318492901376,44063423544,44063423544
1692823107118,sensor,all,0,21,353269186560,45067327280,45067327280
1692823107118,sensor,all,1,38,336426434560,45067322346,45067322346
1692823108122,sensor,all,0,21,416956809216,46071504540,46071504540
1692823108122,sensor,all,1,38,354813476864,46071500312,46071500312
1692823109126,sensor,all,0,21,452204691456,47075383000,47075383000
1692823109126,sensor,all,1,38,328536948736,47075421631,47075421631
1692823110130,sensor,all,0,21,390469255168,48079500726,48079500726
1692823110130,sensor,all,1,38,311340564480,48079497302,48079497302
1692823111134,sensor,all,0,21,365841088512,49083564242,49083564242
1692823111134,sensor,all,1,38,268532711424,49083606680,49083606680
1692823112138,sensor,all,0,21,403376177152,50087825036,50087825036
1692823112138,sensor,all,1,38,273212243968,50087868284,50087868284
1692823113142,sensor,all,0,21,341445443584,51091641186,51091641186
1692823113142,sensor,all,1,38,262049628160,51091683744,51091683744
1692823114145,sensor,all,0,21,316332048384,52094563720,52094563720
1692823114145,sensor,all,1,38,258133196800,52094559018,52094559018
1692823115149,sensor,all,0,21,337640423424,53097574754,53097574754
1692823115149,sensor,all,1,38,260491444224,53097570433,53097570433
1692823116152,sensor,all,0,21,297273917440,54101582506,54101582506
1692823116152,sensor,all,1,38,256765853696,54101626720,54101626720
1692823117156,sensor,all,0,21,267829379072,55105552226,55105552226
1692823117156,sensor,all,1,38,251360968704,55105593986,55105593986
1692823118159,sensor,all,0,21,289462288384,56108188601,56108188601
1692823118159,sensor,all,1,38,255704170496,56108249057,56108249057
1692823119162,sensor,all,0,21,292339318784,57110784221,57110784221
1692823119162,sensor,all,1,38,287107973120,57110780890,57110780890
1692823120164,sensor,all,0,21,305136926720,58113674361,58113674361
1692823120164,sensor,all,1,38,282801995776,58113713563,58113713563
1692823121168,sensor,all,0,21,306547261440,59115970090,59115970090
1692823121168,sensor,all,1,38,286233722880,59115965963,59115965963
1692823122171,sensor,all,0,21,281559433216,60119347898,60119347898
1692823122171,sensor,all,1,38,277143879680,60119341321,60119341321
1692823123174,sensor,all,0,21,254798200832,61122356047,61122356047
1692823123174,sensor,all,1,38,299082186752,61122351523,61122351523
1692823124178,sensor,all,0,21,358486638592,62125971317,62125971317
