timestamp,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,hw_cpu12_hz,hw_cpu13_hz,hw_cpu14_hz,hw_cpu15_hz,hw_cpu16_hz,hw_cpu17_hz,hw_cpu18_hz,hw_cpu19_hz,hw_cpu20_hz,hw_cpu21_hz,hw_cpu22_hz,hw_cpu23_hz,hw_cpu24_hz,hw_cpu25_hz,hw_cpu26_hz,hw_cpu27_hz,hw_cpu28_hz,hw_cpu29_hz,hw_cpu30_hz,hw_cpu31_hz,hw_cpu32_hz,hw_cpu33_hz,hw_cpu34_hz,hw_cpu35_hz,hw_cpu36_hz,hw_cpu37_hz,hw_cpu38_hz,hw_cpu39_hz,hw_cpu40_hz,hw_cpu41_hz,hw_cpu42_hz,hw_cpu43_hz,hw_cpu44_hz,hw_cpu45_hz,hw_cpu46_hz,hw_cpu47_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,kern_cpu12_hz,kern_cpu13_hz,kern_cpu14_hz,kern_cpu15_hz,kern_cpu16_hz,kern_cpu17_hz,kern_cpu18_hz,kern_cpu19_hz,kern_cpu20_hz,kern_cpu21_hz,kern_cpu22_hz,kern_cpu23_hz,kern_cpu24_hz,kern_cpu25_hz,kern_cpu26_hz,kern_cpu27_hz,kern_cpu28_hz,kern_cpu29_hz,kern_cpu30_hz,kern_cpu31_hz,kern_cpu32_hz,kern_cpu33_hz,kern_cpu34_hz,kern_cpu35_hz,kern_cpu36_hz,kern_cpu37_hz,kern_cpu38_hz,kern_cpu39_hz,kern_cpu40_hz,kern_cpu41_hz,kern_cpu42_hz,kern_cpu43_hz,kern_cpu44_hz,kern_cpu45_hz,kern_cpu46_hz,kern_cpu47_hz
2023-04-06 15:24:15.083063435,3.78,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498212.3541666667,999967,2100015,512083.7047781874,1000025,1000528,1000127,1000376,1000072,1030206,999967,1000464,1000136,1000161,1000482,1000065,1000190,1000313,1000157,999988,1000000,1000492,1000185,1000172,1000152,1000273,1000235,1000266,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:17.087056549,3.48,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538636.1875,999989,2100082,511110.89613644744,1000391,1000284,1000163,1000579,1000079,2100082,1000279,1000351,1000557,1000315,1868790,1000083,1000128,1000374,1000499,1000559,999989,1000336,1000442,1000297,1000048,1000245,1000259,1000247,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:19.087073179,3.48,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521764.7916666667,1000027,2100015,498868.31498089083,1000074,1000343,1000322,1000316,1000114,1452476,1523574,1000510,1000278,1000273,1184020,1000064,1000138,1000027,1000298,1000430,1000035,1000332,1000569,1000371,1000142,1000173,1000258,1000412,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:21.091074972,3.48,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518118.625,999894,2100015,499781.97710579366,1000293,1000360,1000255,1000183,1000108,1499409,1301925,1000323,1000104,999894,1184283,1000106,1000138,1000424,1000350,1000420,1000409,1000057,1000087,1000449,1000144,1000380,1000280,1000152,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:23.087067091,3.28,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502917.6875,1000007,2100015,508280.086662862,1000178,1000127,1000007,1000461,1000058,1190894,1065512,1000454,1000048,1000370,1000362,1000101,1000119,1000440,1000101,1000117,1000060,1000127,1000371,1000246,1000089,1000147,1000250,1000249,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:25.087053713,3.28,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521067.75,1000000,2100015,499864.9227833747,1000202,1000365,1000269,1173455,1000095,1621001,1000151,1000577,1000264,1000090,1331487,1000162,1000055,1000614,1000468,1000339,1000189,1000378,1000652,1000486,1000403,1000000,1000211,1000178,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:27.091052392,3.02,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502827.1041666667,1000008,2100015,508819.48502506927,1000152,1000541,1000008,1000154,1000069,1250384,1000275,1000491,1000156,1000111,1000424,1000081,1000033,1000526,1000440,1000625,1000273,1000261,1000509,1000127,1000075,1000392,1000194,1000239,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:29.091077766,3.02,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504961.6666666667,999953,2100015,506770.94007715216,1000162,1000310,1000000,1000321,1000085,1135101,1000189,1000351,1000323,1000454,1218710,1000097,1000066,1000327,1000253,1000058,1000631,999953,1000333,1000773,1000210,1000008,1000164,1000120,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:31.091063136,3.02,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512874.6875,1000003,2100015,503167.5405030431,1000130,1000223,1000003,1000442,1000053,1301920,1000214,1000400,1000174,1000257,1432260,1000076,1000116,1000375,1000068,1000371,1000502,1000192,1000140,1000057,1000013,1000586,1000148,1000104,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
2023-04-06 15:24:33.091085624,2.86,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510203.7083333333,1000004,2100015,504638.9377832828,1000156,1000273,1000004,1000182,1000038,1170509,1000244,1000374,1000128,1000543,1434676,1000098,1000087,1000515,1000036,1000247,1000306,1000177,1000474,1000228,1000702,1000239,1000203,1000178,2100000,2100000,1950429,1732248,2100000,2034008,2100002,2099999,2100015,2100000,2100001,2100001,2099999,1896848,1967213,2100000,1863994,2100000,1913275,1510878,1510251,2100000,2100000,2100000
