timestamp,ipmi
2023-04-06 15:24:01.181207018,190
2023-04-06 15:24:02.188205839,169
2023-04-06 15:24:03.190526434,94
2023-04-06 15:24:04.182397903,97
2023-04-06 15:24:05.187164514,126
2023-04-06 15:24:06.195535458,123
2023-04-06 15:24:07.184985511,107
2023-04-06 15:24:08.188211382,97
2023-04-06 15:24:09.197752174,98
2023-04-06 15:24:10.186492478,105
2023-04-06 15:24:11.189573264,93
2023-04-06 15:24:12.189968693,99
2023-04-06 15:24:13.190330609,95
2023-04-06 15:24:14.189087295,111
2023-04-06 15:24:15.190056734,110
2023-04-06 15:24:16.193321642,106
2023-04-06 15:24:17.195698978,102
2023-04-06 15:24:18.191149558,96
2023-04-06 15:24:19.191244382,94
2023-04-06 15:24:20.193019765,97
2023-04-06 15:24:21.200555768,89
2023-04-06 15:24:22.204078057,105
2023-04-06 15:24:23.1955194,94
2023-04-06 15:24:24.200743106,96
2023-04-06 15:24:25.195923342,106
2023-04-06 15:24:26.196249054,102
2023-04-06 15:24:27.197730201,95
2023-04-06 15:24:28.196725324,97
2023-04-06 15:24:29.199845347,96
2023-04-06 15:24:30.205534331,116
2023-04-06 15:24:31.202781936,92
2023-04-06 15:24:32.199159684,98
2023-04-06 15:24:33.208877891,103
2023-04-06 15:24:34.206335991,105
2023-04-06 15:24:35.200756141,107
2023-04-06 15:24:36.211159143,98
2023-04-06 15:24:37.211562513,94
2023-04-06 15:24:38.201489496,103
2023-04-06 15:24:39.202980194,96
2023-04-06 15:24:40.22144493,98
2023-04-06 15:24:41.20422152,94
2023-04-06 15:24:42.2043446,107
2023-04-06 15:24:43.215291181,99
2023-04-06 15:24:44.207001356,98
2023-04-06 15:24:45.207641674,102
2023-04-06 15:24:46.208180469,99
2023-04-06 15:24:47.208347074,94
2023-04-06 15:24:48.208755094,97
2023-04-06 15:24:49.210485689,89
2023-04-06 15:24:50.209762013,104
2023-04-06 15:24:51.21002132,101
2023-04-06 15:24:52.211217687,104
2023-04-06 15:24:53.210752683,105
2023-04-06 15:24:54.211017989,102
2023-04-06 15:24:55.221038585,100
2023-04-06 15:24:56.212956751,96
2023-04-06 15:24:57.214054387,92
2023-04-06 15:24:58.214786786,108
2023-04-06 15:24:59.224928782,91
2023-04-06 15:25:00.216758761,98
2023-04-06 15:25:01.217541217,94
2023-04-06 15:25:02.218273826,100
2023-04-06 15:25:03.218441472,105
2023-04-06 15:25:04.218529051,103
2023-04-06 15:25:05.219927544,97
2023-04-06 15:25:06.223438807,97
2023-04-06 15:25:07.224608358,91
2023-04-06 15:25:08.231850219,99
2023-04-06 15:25:09.22203698,120
2023-04-06 15:25:10.222889947,133
2023-04-06 15:25:11.223395531,139
2023-04-06 15:25:12.222498279,139
2023-04-06 15:25:13.224542459,169
2023-04-06 15:25:14.224634738,203
2023-04-06 15:25:15.221773288,209
2023-04-06 15:25:16.228384099,209
2023-04-06 15:25:17.23437525,214
2023-04-06 15:25:18.229245452,211
2023-04-06 15:25:19.228977817,215
2023-04-06 15:25:20.22479144,219
2023-04-06 15:25:21.230068896,219
2023-04-06 15:25:22.229580254,216
2023-04-06 15:25:23.230459894,217
2023-04-06 15:25:24.230427365,222
2023-04-06 15:25:25.236747534,217
2023-04-06 15:25:26.244097623,219
2023-04-06 15:25:27.233078263,221
2023-04-06 15:25:28.233871481,222
2023-04-06 15:25:29.239162778,226
2023-04-06 15:25:30.237156294,229
2023-04-06 15:25:31.242922673,242
2023-04-06 15:25:32.236574803,252
2023-04-06 15:25:33.23783385,242
2023-04-06 15:25:34.2376125,232
2023-04-06 15:25:35.244363372,218
2023-04-06 15:25:36.238970805,200
2023-04-06 15:25:37.245685877,178
2023-04-06 15:25:38.246338109,212
2023-04-06 15:25:39.24095451,233
2023-04-06 15:25:40.24782973,230
2023-04-06 15:25:41.24463459,218
2023-04-06 15:25:42.244593412,204
2023-04-06 15:25:43.244753373,211
2023-04-06 15:25:44.251719155,219
2023-04-06 15:25:45.246709773,215
2023-04-06 15:25:46.246465526,213
2023-04-06 15:25:47.247860418,203
2023-04-06 15:25:48.258337233,206
2023-04-06 15:25:49.248715978,212
2023-04-06 15:25:50.249224388,214
2023-04-06 15:25:51.248951015,222
2023-04-06 15:25:52.247616107,225
2023-04-06 15:25:53.250186836,231
2023-04-06 15:25:54.254062302,219
2023-04-06 15:25:55.251826105,230
2023-04-06 15:25:56.248722476,224
2023-04-06 15:25:57.254820396,210
2023-04-06 15:25:58.255007901,200
2023-04-06 15:25:59.254711829,201
2023-04-06 15:26:00.255221836,204
2023-04-06 15:26:01.255950536,212
2023-04-06 15:26:02.257032177,216
2023-04-06 15:26:03.265113802,205
2023-04-06 15:26:04.25923316,209
2023-04-06 15:26:05.259613561,207
2023-04-06 15:26:06.260019275,221
2023-04-06 15:26:07.261143341,220
2023-04-06 15:26:08.285317772,212
2023-04-06 15:26:09.26072777,216
2023-04-06 15:26:10.261442586,223
2023-04-06 15:26:11.262360574,235
2023-04-06 15:26:12.274082885,247
2023-04-06 15:26:13.263212635,228
2023-04-06 15:26:14.265040447,213
2023-04-06 15:26:15.264367203,210
2023-04-06 15:26:16.266435002,203
2023-04-06 15:26:17.267504013,205
2023-04-06 15:26:18.268249794,215
2023-04-06 15:26:19.285251297,217
2023-04-06 15:26:20.270151532,215
2023-04-06 15:26:21.285131278,204
2023-04-06 15:26:22.27138909,153
2023-04-06 15:26:23.284754565,193
