minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
820,1000.0,1000.0,1000.0,1000.0,1000.0
822,361.2123907077563,1000.0,486.37404673441154,678.7530248412273,841.2297574570342
823,158.79905726713173,1000.0,371.16700050140753,568.4527736820622,623.9088164141065
824,269.5630669363617,1000.0,495.50741777336356,687.8125562334693,916.3233937664849
825,339.3466692597399,1000.0,398.0823377767029,709.910502084453,716.2802087562741
826,253.9974695514783,1000.0,350.5359640051693,491.228536270353,587.8116948474736
827,283.66906046550537,1000.0,421.40949525476753,681.2434325465183,721.4317033381756
828,237.7291424567209,1000.0,519.7337524328079,770.8261438277624,613.7400456437384
829,445.179663840616,1000.0,425.04412729097004,602.9244194350755,668.0612797299251
830,187.73662903872977,1000.0,404.40834583383366,555.3287295073413,630.6665975338859
831,319.0160053391541,1000.0,567.5420824171825,678.876539821114,600.5231322602884
832,259.9561342744729,1000.0,252.11369314338134,519.2960021460982,427.1279196916577
833,136.30874804390743,1000.0,301.47396316370504,464.44445960203257,390.21282089475767
834,320.91868073139335,1000.0,339.52788570350776,618.7196805971892,774.2156979458072
835,4180.472674048995,1000.0,3181.8322461397975,1000.0,1000.0
