minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1095,,,,
1097,,6.453959276670623,6.341902588150902,6.995050582320537
1098,,6.389098735518954,9.130228506298186,8.099905091973419
1099,,8.587996136810432,9.112981200156998,6.965224690037162
1100,,8.389944018445021,7.788599104310492,10.084684443904667
1101,,8.160047157996368,8.380492005335462,7.315657916759684
1102,,6.025988428588402,7.3002893090352705,7.777373275442996
1103,,7.85086833046079,6.971591232544128,6.995569482527315
1104,,6.898503743105798,7.312267582822362,6.8222552488298875
1105,,6.579739705124943,7.460587666329704,10.70999291175086
1106,,7.967142083446127,7.769738609600993,8.574615451910878
1107,,8.176516395488939,14.925822912890093,15.499793657143275
1108,,,,
