,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
0,74.42952199999999,31.036828999999997,22.847670999999995,110.61565999999998
1,77.59904800000001,36.91101199999999,0.0,125.107771
2,61.158503,33.153897000000015,0.0,145.32486000000003
3,77.52435300000002,27.933611999999997,0.0,134.17724399999997
4,69.72538499999999,41.77519,0.0,128.103099
5,69.99622199999999,28.620464999999996,0.0,141.01958399999998
6,76.15895700000002,27.916939000000006,0.0,135.34069
7,80.577628,36.097554,0.0,122.930081
8,67.59036499999999,38.427489,35.00657400000001,77.65142599999999
9,54.37050599999999,31.26487299999999,59.917027000000004,94.065814
10,55.445085,17.053437,59.929432999999996,107.24006800000002
11,59.946334000000014,26.772866,59.951515,92.987351
12,24.436955,17.145898000000003,39.352941,80.231449
