minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1008,1.2404920333333331,0.5172804833333333,0.3807945166666666,1.843594333333333
1009,1.293317466666667,0.6151835333333332,0.0,2.0851295166666666
1010,1.0193083833333334,0.5525649500000003,0.0,2.4220810000000004
1011,1.2920725500000003,0.4655601999999999,0.0,2.2362873999999997
1012,1.1620897499999998,0.6962531666666667,0.0,2.13505165
1013,1.1666036999999998,0.47700774999999995,0.0,2.3503263999999997
1014,1.2693159500000002,0.46528231666666675,0.0,2.2556781666666668
1015,1.3429604666666668,0.6016259,0.0,2.0488346833333333
1016,1.1265060833333331,0.6404581500000001,0.5834429000000001,1.2941904333333332
1017,0.9061750999999999,0.5210812166666665,0.9986171166666667,1.5677635666666667
1018,0.92408475,0.28422395,0.9988238833333333,1.787334466666667
1019,0.9991055666666669,0.4462144333333333,0.9991919166666666,1.5497891833333335
1020,0.40728258333333334,0.28576496666666673,0.6558823500000001,1.3371908166666666
