minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1008,4.705224769941466,2.7135156945414036,4.256254840561643,7.886240424764576
1009,4.783807006461208,2.787506081384772,0.0,7.6158516092341095
1010,4.6657722331342555,2.8150640797790474,0.0,7.782897658987719
1011,4.781592442378149,2.686039857320165,0.0,7.932146332742873
1012,4.718109072045705,2.6870977987950004,0.0,7.754336646793286
1013,4.749631203961587,2.702129843910665,0.0,7.973621242395623
1014,4.8391919966192045,2.462710668518283,0.0,7.968452256172939
1015,4.630352609987015,2.5667728950928153,0.0,7.870781714539229
1016,4.978387300974631,2.641156984707164,6.827429979978003,7.55877810189786
1017,4.470735023891176,2.4321968541625156,11.3192552271032,7.031201301057368
1018,3.848500856996032,2.231390615135018,15.145821344654065,6.522563948994859
1019,4.429398716890555,2.4099695476181426,17.52995923553492,7.4177846242147725
1020,4.859286031522499,2.6745340651038476,14.938929114033174,7.528254868057875
