minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1008,12.040109908259067,5.9605440167008545,10.133308000813638,18.68261443752509
1009,12.182865650033689,6.151633716746318,0.0,17.97791461057567
1010,11.812784261531789,6.223198049749608,0.0,18.286656795861425
1011,12.10463974347202,5.982247730298528,0.0,18.575861129701494
1012,11.851009629960096,6.00027337821492,0.0,18.09349378392043
1013,11.920904492257058,6.055222734228754,0.0,18.566109646632576
1014,12.166243545584749,5.493331838486538,0.0,18.524996529785657
1015,11.619322892422279,5.724986724299162,0.0,18.28275659849473
1016,12.512841690291706,5.9195024049165506,17.30282548718552,17.486834878155378
1017,11.0511489856879,5.35734046944545,28.889391672609065,15.890802343008946
1018,8.780516656567439,4.520263681635601,42.75598305025404,13.470918848618734
1019,9.928260840354167,4.870544092436405,51.85836472808322,15.131387041683821
1020,11.42605686897231,5.6800588877784275,41.45618435090153,16.09500010486317
