minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1008,1.6833333333333333,0.9333333333333333,0.5333333333333333,2.35
1009,1.85,1.1166666666666667,0.0,2.55
1010,1.4166666666666667,1.0,0.0,3.05
1011,1.7666666666666666,0.8333333333333334,0.0,2.85
1012,1.5666666666666667,1.3333333333333333,0.0,2.6666666666666665
1013,1.55,0.95,0.0,2.966666666666667
1014,1.75,0.9,0.0,2.7666666666666666
1015,1.8,1.1833333333333333,0.0,2.5833333333333335
1016,1.5,1.15,0.7666666666666667,1.6666666666666667
1017,1.2333333333333334,0.9333333333333333,1.2166666666666666,2.0
1018,1.2833333333333334,0.5333333333333333,1.1666666666666667,2.216666666666667
1019,1.3666666666666667,0.8166666666666667,1.15,1.95
1020,0.5833333333333334,0.55,0.75,1.65
