minute,tegra
11,19.432714826498998
12,19.29153268225032
13,19.642317339053687
14,19.322895626473436
15,19.493378186975093
16,19.649308514575758
17,19.357657374414735
18,19.361855317226215
19,19.49968931732155
20,19.51117104344827
21,19.199282375560564
