minutes,dd-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1035,7.222303824003679,14.831297950972845,12.336775818279458,12.54867690173515
1036,9.497391359151498,11.689569544956576,17.20180303991103,12.895874249233856
1037,6.946834822857856,19.29102449303224,10.456847495324505,10.430042259985935
1038,7.372113459829124,14.614022081714666,11.97218431753485,13.913272701722262
1039,7.6774774287851235,15.585319746617731,13.599690810369067,23.06259475306433
1040,9.070077424112496,22.434678164280008,14.637443561994344,20.58367167718813
1041,7.256806783302377,20.264599787118495,13.779320158780436,16.93882090184059
1042,4.316266068032194,21.676754851105983,11.245129859441947,24.2141848530421
1043,7.684157234123823,19.19306266484503,13.183828187537006,20.620889843036817
1044,6.766363897563902,16.152646769900823,12.133236504509114,27.37223976310237
1045,6.538108687010825,16.427103770297627,13.17566551756169,23.401486374029247
1046,6.87341622241111,17.05566122780855,10.51642766695202,15.7205069118061
