minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1
1068,12.054673831451014,,2.5872095090949974,2.4788697810133664
1070,28.322246534689302,,3.9613572125762193,5.406237869309762
1071,15.764144095430481,,2.5195088804065144,3.6144148662559794
1072,20.54367087992595,,2.7447298633273824,3.5152846545590397
1073,18.573047450447785,,2.3213968976442687,3.583097836397361
1074,12.984628152862353,,1.614873670523084,1.9147699649574614
1075,18.949713619029538,,2.1907778453191202,3.1005104136785695
1076,12.769034274876361,,2.6109331381864997,3.6145560847563067
1077,24.549830801449254,,2.7560595173473814,2.826163155511832
1078,13.754011891846721,,1.9784235132160486,2.1018371690623354
1079,22.57511807556055,,3.5161353130250617,3.197144122944899
1080,16.61330023367392,,1.4996838127157028,2.462937749020199
1081,13.946887419640891,,1.7617045786980987,1.6923854957639881
1082,23.908338469190383,,3.1735703471592163,4.8452603572977715
1083,0.0,,16.055728278142325,
