minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1068,1.5548715637000592,3.0337090114812573,3.823210819982302,
1070,3.3910637799423884,4.645006533580844,8.982567335427985,
1071,2.267142444513051,2.954324637462378,4.999691166770898,
1072,2.2049629994886626,3.2184141605797794,6.515546242766661,
1073,2.2474988312988042,2.722022574071123,5.890551413123502,
1074,1.2010398417629757,1.8935678728172958,4.118151311398416,
1075,1.9447957743120836,2.568861341972623,6.010013307437544,
1076,2.267231023845499,3.061526854260099,4.049774442927079,
1077,1.7727114020026375,3.231699081409194,7.78612346225031,
1078,1.3183777827840797,2.319858990727586,4.3621658966731305,
1079,2.0054092876898015,4.122948430427994,7.159831688160418,
1080,1.5448781934601716,1.758498598978806,5.269006038411513,
1081,1.0615491391831458,2.0657387958633904,4.423337506546851,
1082,3.0391905238385215,3.72126375034636,7.582670390029559,
1083,,18.826618946809976,0.0,
