minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1
1068,19.194952460793573,,3.964179348154641,11.789588705470187
1070,40.61028924112194,,5.465658704180676,23.153513227740646
1071,32.95653137501166,,5.068472717065121,22.569527384679326
1072,39.789862693931646,,5.115453229419407,20.336127419917222
1073,38.35370422698957,,4.612789805510397,22.10019866068651
1074,31.15860110467863,,3.728868834784734,13.723927187912901
1075,45.45500536040581,,5.056703875241419,22.21394135819388
1076,33.219813540554135,,6.536195101832483,28.087136828106484
1077,56.68664245513292,,6.12365820340603,19.491390653205507
1078,35.6247164219476,,4.930959146887462,16.2605208545993
1079,45.295217711799175,,6.788565611907146,19.16010564886203
1080,44.25131208129789,,3.8437936194169566,19.59462869121855
1081,41.15625975429246,,5.002439056321594,14.916648751873364
1082,47.786043085182484,,6.103654236170604,28.92558545225348
1083,0.0,,35.4656865164906,
